"X","Y","R","G","B"
"50","25","171","182","116"
"51","25","187","198","132"
"52","25","229","240","185"
"53","25","226","237","182"
"54","25","231","242","187"
"55","25","251","6","207"
"56","25","237","248","193"
"57","25","8","19","220"
"58","25","61","72","17"
"59","25","58","69","14"
"60","25","41","52","253"
"61","25","28","39","240"
"62","25","248","3","204"
"63","25","231","231","209"
"64","25","240","240","218"
"65","25","215","215","193"
"66","25","220","231","176"
"67","25","17","28","229"
"68","25","3","25","226"
"69","25","8","30","231"
"70","25","39","61","6"
"71","25","58","80","25"
"72","25","52","74","41"
"73","25","39","61","28"
"74","25","36","58","25"
"75","25","253","19","220"
"76","25","6","39","218"
"77","25","113","146","47"
"78","25","41","74","209"
"79","25","42","97","133"
"80","25","208","62","189"
"81","25","73","205","211"
"82","25","137","13","231"
"83","25","189","76","5"
"84","25","84","227","123"
"85","25","82","236","132"
"86","25","123","21","118"
"87","25","106","4","112"
"88","25","115","13","132"
"89","25","101","244","140"
"90","25","95","238","134"
"91","25","115","2","154"
"92","25","101","255","118"
"93","25","95","249","112"
"94","25","115","13","132"
"95","25","101","255","118"
"96","25","95","249","112"
"97","25","115","13","132"
"98","25","101","255","118"
"99","25","95","249","112"
"0","26","115","13","132"
"1","26","101","255","118"
"2","26","95","249","112"
"3","26","115","13","132"
"4","26","101","255","118"
"5","26","95","249","112"
"6","26","115","13","132"
"7","26","101","255","118"
"8","26","95","249","112"
"9","26","115","13","132"
"10","26","101","255","118"
"11","26","95","249","112"
"12","26","115","13","132"
"13","26","101","255","118"
"14","26","95","249","112"
"15","26","115","13","132"
"16","26","90","255","118"
"17","26","150","48","145"
"18","26","104","236","220"
"19","26","244","98","225"
"20","26","179","234","248"
"21","26","240","28","130"
"22","26","116","149","50"
"23","26","253","19","220"
"24","26","207","229","174"
"25","26","226","248","193"
"26","26","253","8","209"
"27","26","17","28","229"
"28","26","215","226","171"
"29","26","165","165","143"
"30","26","185","185","163"
"31","26","204","204","182"
"32","26","176","198","165"
"33","26","196","218","185"
"34","26","138","160","105"
"35","26","99","121","66"
"36","26","130","152","97"
"37","26","171","193","138"
"38","26","209","231","176"
"39","26","240","6","207"
"40","26","193","215","160"
"41","26","176","198","143"
"42","26","196","218","163"
"43","26","182","204","149"
"44","26","187","209","154"
"45","26","207","229","174"
"46","26","193","215","160"
"47","26","176","198","143"
"48","26","174","196","141"
"49","26","160","182","127"
"50","26","154","176","121"
"51","26","185","207","152"
"52","26","193","215","160"
"53","26","198","220","165"
"54","26","218","240","185"
"55","26","204","226","171"
"56","26","198","220","165"
"57","26","28","50","251"
"58","26","69","91","36"
"59","26","63","85","30"
"60","26","61","83","28"
"61","26","36","58","3"
"62","26","8","30","253"
"63","26","251","17","240"
"64","26","171","193","182"
"65","26","165","187","176"
"66","26","218","240","207"
"67","26","226","248","193"
"68","26","242","19","198"
"69","26","17","50","207"
"70","26","25","58","215"
"71","26","41","74","231"
"72","26","127","160","83"
"73","26","91","113","58"
"74","26","96","118","63"
"75","26","105","127","72"
"76","26","3","25","226"
"77","26","209","231","176"
"78","26","17","50","229"
"79","26","25","69","171"
"80","26","30","129","66"
"81","26","178","32","137"
"82","26","35","156","195"
"83","26","29","161","145"
"84","26","159","46","220"
"85","26","123","21","140"
"86","26","128","26","123"
"87","26","82","236","132"
"88","26","101","255","118"
"89","26","95","249","112"
"90","26","115","2","154"
"91","26","101","244","140"
"92","26","95","249","112"
"93","26","115","13","132"
"94","26","101","255","118"
"95","26","95","249","112"
"96","26","115","13","132"
"97","26","101","255","118"
"98","26","95","249","112"
"99","26","115","13","132"
"0","27","101","255","118"
"1","27","95","249","112"
"2","27","115","13","132"
"3","27","101","255","118"
"4","27","95","249","112"
"5","27","115","13","132"
"6","27","101","255","118"
"7","27","95","249","112"
"8","27","115","13","132"
"9","27","101","255","118"
"10","27","95","249","112"
"11","27","115","13","132"
"12","27","101","255","118"
"13","27","95","249","112"
"14","27","115","13","132"
"15","27","101","255","118"
"16","27","95","249","112"
"17","27","71","214","132"
"18","27","35","156","206"
"19","27","182","25","240"
"20","27","196","240","86"
"21","27","204","226","171"
"22","27","231","253","198"
"23","27","185","207","152"
"24","27","215","248","171"
"25","27","231","8","165"
"26","27","28","39","229"
"27","27","237","248","193"
"28","27","165","165","143"
"29","27","141","141","119"
"30","27","149","149","127"
"31","27","198","198","176"
"32","27","119","141","108"
"33","27","127","149","116"
"34","27","132","154","99"
"35","27","152","174","119"
"36","27","171","193","138"
"37","27","220","242","187"
"38","27","240","6","207"
"39","27","182","204","149"
"40","27","198","220","165"
"41","27","207","229","174"
"42","27","193","215","160"
"43","27","187","209","154"
"44","27","218","240","185"
"45","27","204","226","171"
"46","27","198","220","165"
"47","27","218","240","185"
"48","27","204","226","171"
"49","27","198","220","165"
"50","27","207","229","174"
"51","27","193","215","160"
"52","27","187","209","154"
"53","27","218","240","185"
"54","27","204","226","171"
"55","27","198","220","165"
"56","27","240","6","207"
"57","27","47","69","14"
"58","27","96","118","63"
"59","27","94","116","61"
"60","27","58","80","25"
"61","27","52","74","19"
"62","27","50","72","39"
"63","27","3","25","248"
"64","27","176","198","187"
"65","27","207","229","218"
"66","27","204","226","193"
"67","27","209","231","176"
"68","27","240","17","174"
"69","27","237","14","171"
"70","27","8","41","176"
"71","27","50","83","240"
"72","27","102","135","58"
"73","27","96","118","63"
"74","27","105","127","72"
"75","27","69","91","36"
"76","27","41","63","30"
"77","27","17","39","6"
"78","27","204","226","171"
"79","27","165","198","99"
"80","27","50","138","141"
"81","27","240","83","254"
"82","27","139","249","98"
"83","27","192","57","96"
"84","27","79","222","151"
"85","27","84","227","123"
"86","27","82","236","132"
"87","27","123","21","118"
"88","27","95","249","112"
"89","27","115","13","132"
"90","27","101","244","140"
"91","27","95","238","134"
"92","27","115","13","132"
"93","27","101","255","118"
"94","27","95","249","112"
"95","27","115","13","132"
"96","27","101","255","118"
"97","27","95","249","112"
"98","27","115","13","132"
"99","27","101","255","118"
"0","28","95","249","112"
"1","28","115","13","132"
"2","28","101","255","118"
"3","28","95","249","112"
"4","28","115","13","132"
"5","28","101","255","118"
"6","28","95","249","112"
"7","28","115","13","132"
"8","28","101","255","118"
"9","28","95","249","112"
"10","28","115","13","132"
"11","28","101","255","118"
"12","28","95","249","112"
"13","28","115","13","132"
"14","28","101","255","118"
"15","28","95","249","112"
"16","28","181","46","198"
"17","28","145","244","239"
"18","28","224","45","194"
"19","28","119","163","232"
"20","28","138","171","94"
"21","28","132","154","143"
"22","28","185","207","196"
"23","28","215","237","204"
"24","28","209","242","165"
"25","28","251","28","185"
"26","28","248","25","182"
"27","28","209","242","165"
"28","28","163","185","130"
"29","28","105","127","94"
"30","28","121","143","110"
"31","28","185","207","174"
"32","28","72","94","61"
"33","28","121","143","110"
"34","28","174","196","163"
"35","28","193","215","182"
"36","28","231","253","198"
"37","28","17","39","240"
"38","28","215","237","182"
"39","28","143","165","110"
"40","28","196","218","163"
"41","28","182","204","149"
"42","28","187","209","154"
"43","28","218","240","185"
"44","28","215","237","182"
"45","28","220","242","187"
"46","28","251","17","218"
"47","28","226","248","193"
"48","28","242","8","209"
"49","28","6","28","229"
"50","28","237","3","204"
"51","28","231","253","198"
"52","28","251","17","218"
"53","28","237","3","204"
"54","28","242","8","209"
"55","28","6","28","229"
"56","28","25","47","248"
"57","28","85","107","52"
"58","28","127","149","94"
"59","28","80","102","47"
"60","28","41","63","30"
"61","28","72","94","61"
"62","28","47","69","36"
"63","28","19","41","8"
"64","28","6","28","17"
"65","28","248","14","3"
"66","28","242","8","231"
"67","28","251","17","218"
"68","28","237","14","171"
"69","28","253","30","187"
"70","28","50","83","240"
"71","28","58","91","248"
"72","28","85","118","41"
"73","28","149","171","116"
"74","28","102","124","69"
"75","28","30","52","19"
"76","28","72","94","61"
"77","28","80","102","69"
"78","28","52","74","19"
"79","28","50","83","6"
"80","28","215","36","116"
"81","28","63","151","154"
"82","28","10","109","24"
"83","28","225","90","162"
"84","28","139","15","233"
"85","28","148","35","187"
"86","28","112","10","118"
"87","28","106","4","112"
"88","28","115","13","132"
"89","28","101","255","118"
"90","28","95","238","134"
"91","28","115","2","154"
"92","28","101","244","140"
"93","28","95","249","112"
"94","28","115","13","132"
"95","28","101","255","118"
"96","28","95","249","112"
"97","28","115","13","132"
"98","28","101","255","118"
"99","28","95","249","112"
"0","29","115","13","132"
"1","29","101","255","118"
"2","29","95","249","112"
"3","29","115","13","132"
"4","29","101","255","118"
"5","29","95","249","112"
"6","29","115","13","132"
"7","29","101","255","118"
"8","29","95","249","112"
"9","29","115","13","132"
"10","29","101","255","118"
"11","29","95","249","112"
"12","29","115","13","132"
"13","29","101","255","118"
"14","29","95","249","112"
"15","29","115","2","176"
"16","29","112","211","206"
"17","29","7","95","200"
"18","29","224","34","4"
"19","29","182","226","72"
"20","29","55","77","22"
"21","29","196","207","229"
"22","29","127","138","160"
"23","29","242","8","253"
"24","29","240","6","207"
"25","29","237","14","193"
"26","29","242","19","176"
"27","29","6","39","196"
"28","29","204","237","160"
"29","29","143","165","110"
"30","29","152","174","141"
"31","29","149","171","160"
"32","29","132","154","121"
"33","29","185","207","174"
"34","29","193","215","182"
"35","29","220","242","209"
"36","29","17","39","240"
"37","29","14","36","237"
"38","29","220","242","187"
"39","29","174","196","141"
"40","29","171","193","138"
"41","29","165","187","132"
"42","29","207","229","174"
"43","29","215","237","182"
"44","29","231","253","198"
"45","29","6","28","229"
"46","29","248","14","215"
"47","29","242","8","209"
"48","29","17","39","240"
"49","29","3","25","226"
"50","29","253","19","220"
"51","29","17","39","240"
"52","29","14","36","237"
"53","29","19","41","242"
"54","29","61","83","28"
"55","29","58","80","25"
"56","29","74","96","41"
"57","29","127","149","94"
"58","29","113","135","80"
"59","29","63","85","30"
"60","29","61","83","50"
"61","29","47","69","36"
"62","29","41","63","30"
"63","29","50","72","39"
"64","29","36","58","47"
"65","29","30","52","19"
"66","29","39","61","6"
"67","29","14","36","237"
"68","29","19","52","231"
"69","29","72","105","28"
"70","29","91","124","47"
"71","29","96","129","52"
"72","29","138","160","105"
"73","29","135","157","124"
"74","29","96","118","85"
"75","29","61","83","50"
"76","29","36","58","25"
"77","29","19","41","8"
"78","29","17","39","240"
"79","29","3","36","215"
"80","29","176","242","132"
"81","29","149","226","50"
"82","29","150","249","208"
"83","29","18","128","233"
"84","29","170","46","30"
"85","29","79","222","118"
"86","29","95","249","112"
"87","29","82","236","132"
"88","29","101","255","118"
"89","29","95","249","112"
"90","29","115","13","132"
"91","29","101","244","140"
"92","29","95","238","134"
"93","29","115","2","154"
"94","29","101","255","118"
"95","29","95","249","112"
"96","29","115","13","132"
"97","29","101","255","118"
"98","29","95","249","112"
"99","29","115","13","132"
"0","30","101","255","118"
"1","30","95","249","112"
"2","30","115","13","132"
"3","30","101","255","118"
"4","30","95","249","112"
"5","30","115","13","132"
"6","30","101","255","118"
"7","30","95","249","112"
"8","30","115","13","132"
"9","30","101","255","118"
"10","30","95","249","112"
"11","30","115","13","132"
"12","30","101","255","118"
"13","30","95","249","112"
"14","30","115","13","132"
"15","30","101","244","173"
"16","30","84","172","255"
"17","30","211","255","214"
"18","30","182","215","240"
"19","30","66","88","201"
"20","30","152","163","108"
"21","30","237","237","237"
"22","30","8","19","63"
"23","30","218","229","17"
"24","30","237","3","248"
"25","30","220","242","187"
"26","30","240","17","174"
"27","30","248","25","160"
"28","30","242","19","176"
"29","30","240","17","196"
"30","30","204","226","215"
"31","30","187","198","220"
"32","30","229","251","240"
"33","30","215","237","204"
"34","30","220","242","209"
"35","30","251","17","240"
"36","30","3","25","248"
"37","30","253","19","242"
"38","30","251","17","218"
"39","30","215","237","182"
"40","30","209","231","176"
"41","30","229","251","196"
"42","30","237","3","204"
"43","30","242","8","209"
"44","30","28","50","251"
"45","30","14","36","237"
"46","30","253","19","220"
"47","30","6","28","229"
"48","30","248","14","215"
"49","30","242","8","209"
"50","30","6","28","229"
"51","30","248","14","215"
"52","30","253","19","220"
"53","30","39","61","6"
"54","30","58","80","25"
"55","30","74","96","41"
"56","30","127","149","94"
"57","30","102","124","69"
"58","30","85","107","74"
"59","30","72","94","61"
"60","30","47","69","36"
"61","30","30","52","19"
"62","30","50","72","39"
"63","30","36","58","25"
"64","30","52","74","41"
"65","30","72","94","61"
"66","30","47","69","14"
"67","30","41","63","8"
"68","30","83","105","50"
"69","30","113","135","80"
"70","30","118","140","107"
"71","30","127","149","116"
"72","30","113","135","124"
"73","30","52","74","63"
"74","30","28","50","39"
"75","30","3","25","14"
"76","30","19","41","8"
"77","30","72","94","61"
"78","30","69","91","36"
"79","30","63","96","19"
"80","30","17","72","6"
"81","30","102","168","36"
"82","30","182","14","17"
"83","30","16","126","8"
"84","30","79","211","217"
"85","30","139","26","200"
"86","30","60","214","132"
"87","30","189","87","173"
"88","30","95","249","112"
"89","30","115","13","132"
"90","30","101","255","118"
"91","30","95","238","134"
"92","30","115","2","154"
"93","30","101","244","140"
"94","30","95","249","112"
"95","30","115","13","132"
"96","30","101","255","118"
"97","30","95","249","112"
"98","30","115","13","132"
"99","30","101","255","118"
"0","31","95","249","112"
"1","31","115","13","132"
"2","31","101","255","118"
"3","31","95","249","112"
"4","31","115","13","132"
"5","31","101","255","118"
"6","31","95","249","112"
"7","31","115","13","132"
"8","31","101","255","118"
"9","31","95","249","112"
"10","31","115","13","132"
"11","31","101","255","118"
"12","31","95","249","112"
"13","31","115","2","154"
"14","31","101","244","173"
"15","31","117","205","10"
"16","31","142","186","145"
"17","31","251","28","75"
"18","31","165","187","33"
"19","31","6","28","163"
"20","31","3","14","204"
"21","31","242","242","242"
"22","31","251","6","50"
"23","31","248","3","47"
"24","31","242","8","253"
"25","31","218","240","185"
"26","31","193","226","127"
"27","31","220","253","132"
"28","31","28","61","218"
"29","31","25","58","237"
"30","31","8","30","19"
"31","31","28","39","61"
"32","31","248","14","3"
"33","31","220","242","209"
"34","31","240","6","229"
"35","31","3","25","248"
"36","31","8","30","231"
"37","31","28","50","251"
"38","31","3","25","226"
"39","31","253","19","220"
"40","31","39","61","6"
"41","31","36","58","3"
"42","31","30","52","253"
"43","31","61","83","28"
"44","31","47","69","14"
"45","31","19","41","242"
"46","31","28","39","229"
"47","31","237","3","204"
"48","31","231","253","198"
"49","31","229","28","218"
"50","31","204","3","193"
"51","31","209","231","176"
"52","31","240","6","207"
"53","31","248","14","215"
"54","31","19","41","242"
"55","31","72","94","39"
"56","31","124","146","91"
"57","31","85","107","74"
"58","31","83","105","72"
"59","31","58","80","47"
"60","31","41","63","30"
"61","31","50","72","39"
"62","31","36","58","25"
"63","31","30","52","19"
"64","31","61","83","50"
"65","31","58","80","47"
"66","31","19","74","30"
"67","31","72","94","61"
"68","31","69","124","80"
"69","31","118","140","107"
"70","31","138","160","149"
"71","31","102","124","113"
"72","31","85","107","96"
"73","31","94","94","94"
"74","31","58","80","69"
"75","31","30","52","41"
"76","31","50","72","39"
"77","31","69","91","58"
"78","31","74","96","63"
"79","31","28","83","17"
"80","31","36","91","25"
"81","31","8","63","242"
"82","31","72","149","229"
"83","31","100","188","180"
"84","31","18","139","211"
"85","31","104","236","198"
"86","31","123","21","140"
"87","31","73","227","112"
"88","31","115","13","132"
"89","31","101","255","118"
"90","31","95","249","112"
"91","31","115","2","154"
"92","31","101","255","118"
"93","31","95","249","112"
"94","31","115","13","132"
"95","31","101","255","118"
"96","31","95","249","112"
"97","31","115","13","132"
"98","31","101","255","118"
"99","31","95","249","112"
"0","32","115","13","132"
"1","32","101","255","118"
"2","32","95","249","112"
"3","32","115","13","132"
"4","32","101","244","140"
"5","32","95","238","134"
"6","32","115","13","132"
"7","32","101","255","118"
"8","32","73","227","112"
"9","32","170","68","165"
"10","32","68","222","118"
"11","32","62","216","112"
"12","32","137","2","132"
"13","32","211","65","250"
"14","32","7","95","178"
"15","32","211","21","247"
"16","32","193","215","61"
"17","32","88","99","11"
"18","32","141","152","64"
"19","32","248","3","193"
"20","32","19","30","231"
"21","32","28","28","6"
"22","32","3","3","237"
"23","32","220","220","198"
"24","32","174","174","152"
"25","32","204","215","160"
"26","32","242","253","187"
"27","32","17","28","218"
"28","32","248","3","193"
"29","32","231","242","187"
"30","32","6","6","240"
"31","32","14","14","248"
"32","32","242","8","253"
"33","32","251","17","6"
"34","32","248","14","237"
"35","32","209","231","176"
"36","32","6","17","207"
"37","32","3","14","182"
"38","32","209","242","143"
"39","32","39","72","251"
"40","32","237","36","226"
"41","32","8","63","19"
"42","32","50","105","61"
"43","32","47","69","36"
"44","32","8","30","231"
"45","32","28","39","229"
"46","32","3","3","171"
"47","32","220","231","165"
"48","32","207","6","218"
"49","32","182","248","204"
"50","32","176","242","198"
"51","32","207","6","218"
"52","32","226","248","193"
"53","32","231","253","198"
"54","32","6","28","229"
"55","32","3","25","226"
"56","32","74","129","85"
"57","32","72","116","105"
"58","32","36","80","69"
"59","32","52","74","63"
"60","32","50","72","61"
"61","32","36","36","14"
"62","32","30","30","8"
"63","32","72","72","50"
"64","32","14","69","25"
"65","32","8","52","41"
"66","32","39","105","105"
"67","32","58","102","113"
"68","32","52","118","118"
"69","32","94","138","149"
"70","32","91","113","102"
"71","32","74","96","85"
"72","32","105","116","61"
"73","32","113","102","58"
"74","32","96","107","41"
"75","32","94","105","50"
"76","32","69","91","58"
"77","32","74","96","85"
"78","32","83","127","138"
"79","32","58","102","91"
"80","32","52","107","41"
"81","32","127","160","83"
"82","32","237","14","193"
"83","32","118","162","8"
"84","32","109","208","145"
"85","32","2","123","173"
"86","32","128","15","189"
"87","32","126","24","132"
"88","32","101","255","118"
"89","32","95","249","112"
"90","32","115","13","132"
"91","32","101","255","118"
"92","32","95","249","112"
"93","32","115","13","132"
"94","32","101","255","118"
"95","32","95","249","112"
"96","32","115","13","132"
"97","32","101","255","118"
"98","32","95","249","112"
"99","32","115","13","132"
"0","33","101","255","118"
"1","33","95","249","112"
"2","33","115","13","132"
"3","33","101","255","118"
"4","33","95","238","134"
"5","33","115","2","154"
"6","33","101","255","118"
"7","33","95","249","112"
"8","33","137","35","132"
"9","33","24","178","118"
"10","33","128","26","123"
"11","33","159","57","154"
"12","33","134","10","118"
"13","33","62","172","112"
"14","33","104","181","74"
"15","33","144","188","1"
"16","33","165","176","88"
"17","33","141","152","97"
"18","33","171","182","127"
"19","33","242","253","198"
"20","33","28","39","240"
"21","33","248","3","204"
"22","33","231","242","187"
"23","33","240","251","196"
"24","33","149","160","105"
"25","33","187","198","143"
"26","33","251","6","207"
"27","33","237","248","193"
"28","33","242","253","198"
"29","33","17","28","229"
"30","33","248","3","204"
"31","33","220","220","198"
"32","33","17","17","17"
"33","33","226","226","226"
"34","33","253","253","231"
"35","33","17","28","218"
"36","33","3","14","182"
"37","33","8","19","187"
"38","33","6","17","185"
"39","33","3","36","215"
"40","33","187","242","176"
"41","33","240","39","251"
"42","33","248","36","25"
"43","33","231","19","8"
"44","33","251","17","240"
"45","33","237","248","193"
"46","33","242","242","154"
"47","33","240","251","185"
"48","33","182","237","193"
"49","33","154","220","198"
"50","33","163","218","174"
"51","33","149","204","160"
"52","33","176","198","143"
"53","33","240","251","196"
"54","33","3","14","215"
"55","33","8","30","231"
"56","33","72","94","61"
"57","33","36","80","69"
"58","33","30","74","63"
"59","33","50","61","83"
"60","33","36","36","36"
"61","33","19","19","253"
"62","33","50","39","251"
"63","33","36","47","248"
"64","33","19","74","30"
"65","33","28","94","72"
"66","33","25","91","91"
"67","33","41","96","129"
"68","33","72","127","160"
"69","33","80","124","157"
"70","33","85","107","96"
"71","33","94","116","83"
"72","33","80","91","36"
"73","33","96","85","30"
"74","33","127","127","39"
"75","33","102","113","47"
"76","33","96","118","85"
"77","33","149","160","182"
"78","33","124","168","201"
"79","33","118","162","173"
"80","33","149","171","116"
"81","33","80","113","36"
"82","33","74","96","63"
"83","33","83","116","17"
"84","33","174","6","9"
"85","33","150","4","131"
"86","33","104","236","198"
"87","33","79","233","118"
"88","33","95","249","112"
"89","33","115","13","132"
"90","33","101","255","118"
"91","33","95","249","112"
"92","33","115","13","132"
"93","33","101","255","118"
"94","33","95","249","112"
"95","33","115","13","132"
"96","33","101","255","118"
"97","33","95","249","112"
"98","33","115","13","132"
"99","33","101","255","118"
"0","34","95","249","112"
"1","34","115","13","132"
"2","34","101","255","118"
"3","34","95","249","112"
"4","34","115","2","154"
"5","34","101","244","140"
"6","34","95","249","112"
"7","34","115","13","132"
"8","34","134","32","129"
"9","34","40","194","112"
"10","34","159","57","154"
"11","34","90","244","118"
"12","34","128","249","112"
"13","34","71","181","143"
"14","34","197","18","189"
"15","34","143","187","22"
"16","34","152","163","75"
"17","34","182","193","138"
"18","34","220","231","176"
"19","34","17","28","229"
"20","34","14","25","226"
"21","34","231","242","187"
"22","34","229","240","185"
"23","34","226","237","182"
"24","34","143","154","99"
"25","34","196","207","152"
"26","34","215","226","171"
"27","34","231","242","187"
"28","34","6","17","218"
"29","34","3","14","215"
"30","34","231","242","187"
"31","34","207","207","185"
"32","34","14","248","3"
"33","34","198","176","187"
"34","34","17","6","240"
"35","34","25","14","215"
"36","34","242","242","154"
"37","34","28","28","196"
"38","34","237","248","160"
"39","34","220","231","165"
"40","34","207","229","174"
"41","34","237","3","226"
"42","34","231","19","8"
"43","34","240","28","17"
"44","34","204","3","215"
"45","34","220","242","187"
"46","34","240","17","196"
"47","34","237","248","182"
"48","34","209","231","198"
"49","34","218","240","229"
"50","34","204","204","182"
"51","34","198","209","154"
"52","34","240","229","174"
"53","34","248","237","182"
"54","34","19","8","220"
"55","34","39","50","251"
"56","34","36","58","25"
"57","34","63","85","74"
"58","34","94","116","105"
"59","34","47","69","58"
"60","34","30","30","8"
"61","34","50","50","28"
"62","34","47","36","248"
"63","34","19","30","231"
"64","34","50","72","39"
"65","34","25","69","58"
"66","34","30","74","85"
"67","34","61","105","116"
"68","34","69","113","146"
"69","34","74","118","151"
"70","34","105","127","116"
"71","34","91","113","80"
"72","34","74","85","30"
"73","34","105","116","61"
"74","34","91","102","36"
"75","34","96","107","41"
"76","34","138","160","127"
"77","34","157","179","168"
"78","34","129","173","184"
"79","34","149","193","204"
"80","34","146","168","135"
"81","34","41","63","8"
"82","34","116","138","105"
"83","34","124","157","80"
"84","34","52","140","165"
"85","34","156","10","137"
"86","34","46","178","140"
"87","34","95","238","134"
"88","34","115","2","154"
"89","34","101","244","140"
"90","34","95","238","134"
"91","34","115","13","132"
"92","34","101","255","118"
"93","34","95","249","112"
"94","34","115","13","132"
"95","34","101","255","118"
"96","34","95","249","112"
"97","34","115","13","132"
"98","34","101","255","118"
"99","34","95","249","112"
"0","35","115","13","132"
"1","35","101","255","118"
"2","35","95","249","112"
"3","35","115","13","132"
"4","35","101","244","140"
"5","35","95","238","134"
"6","35","115","13","132"
"7","35","101","255","118"
"8","35","84","238","112"
"9","35","170","68","187"
"10","35","79","233","118"
"11","35","40","194","112"
"12","35","159","24","132"
"13","35","79","189","151"
"14","35","141","218","133"
"15","35","207","251","86"
"16","35","127","138","50"
"17","35","220","231","176"
"18","35","6","17","218"
"19","35","248","3","204"
"20","35","8","19","220"
"21","35","6","17","218"
"22","35","215","226","171"
"23","35","220","231","176"
"24","35","174","185","130"
"25","35","171","182","127"
"26","35","198","209","154"
"27","35","251","6","207"
"28","35","248","3","204"
"29","35","209","220","165"
"30","35","207","218","163"
"31","35","193","193","171"
"32","35","8","242","253"
"33","35","196","174","185"
"34","35","237","226","204"
"35","35","253","242","198"
"36","35","218","207","152"
"37","35","237","226","171"
"38","35","209","220","154"
"39","35","174","196","141"
"40","35","215","237","204"
"41","35","231","19","8"
"42","35","28","72","61"
"43","35","248","36","25"
"44","35","220","19","231"
"45","35","229","28","240"
"46","35","204","3","193"
"47","35","220","242","187"
"48","35","251","17","240"
"49","35","248","248","226"
"50","35","242","253","198"
"51","35","17","6","218"
"52","35","3","248","193"
"53","35","253","242","187"
"54","35","17","6","218"
"55","35","248","3","204"
"56","35","19","41","8"
"57","35","72","127","83"
"58","35","80","124","113"
"59","35","52","74","63"
"60","35","39","61","28"
"61","35","47","58","3"
"62","35","41","52","242"
"63","35","39","50","240"
"64","35","14","36","237"
"65","35","253","52","8"
"66","35","39","83","72"
"67","35","47","91","102"
"68","35","63","107","118"
"69","35","94","138","149"
"70","35","91","102","124"
"71","35","74","96","85"
"72","35","94","116","83"
"73","35","80","91","36"
"74","35","74","85","19"
"75","35","105","116","61"
"76","35","102","124","91"
"77","35","118","140","129"
"78","35","116","160","171"
"79","35","91","135","146"
"80","35","96","118","85"
"81","35","116","138","105"
"82","35","91","113","102"
"83","35","107","129","74"
"84","35","50","138","163"
"85","35","59","169","51"
"86","35","252","128","112"
"87","35","148","35","187"
"88","35","101","244","140"
"89","35","95","238","134"
"90","35","115","2","154"
"91","35","101","244","140"
"92","35","95","249","112"
"93","35","115","13","132"
"94","35","101","244","140"
"95","35","95","238","134"
"96","35","115","13","132"
"97","35","101","255","118"
"98","35","95","249","112"
"99","35","115","13","132"
"0","36","101","255","118"
"1","36","95","249","112"
"2","36","115","13","132"
"3","36","101","255","118"
"4","36","95","238","156"
"5","36","115","2","176"
"6","36","101","255","118"
"7","36","95","249","112"
"8","36","93","247","132"
"9","36","156","54","173"
"10","36","51","205","112"
"11","36","137","35","154"
"12","36","156","21","151"
"13","36","51","150","145"
"14","36","213","23","227"
"15","36","160","204","39"
"16","36","132","143","55"
"17","36","251","6","207"
"18","36","3","14","215"
"19","36","231","242","187"
"20","36","28","39","240"
"21","36","14","25","226"
"22","36","220","231","176"
"23","36","240","251","196"
"24","36","182","193","138"
"25","36","143","154","99"
"26","36","196","207","152"
"27","36","248","3","204"
"28","36","220","231","176"
"29","36","174","185","130"
"30","36","149","160","105"
"31","36","198","198","176"
"32","36","251","17","6"
"33","36","105","149","138"
"34","36","154","209","165"
"35","36","185","240","174"
"36","36","149","182","105"
"37","36","187","220","143"
"38","36","218","251","174"
"39","36","138","193","127"
"40","36","220","19","231"
"41","36","6","72","50"
"42","36","14","80","58"
"43","36","242","52","30"
"44","36","240","50","6"
"45","36","193","3","215"
"46","36","165","242","165"
"47","36","174","229","163"
"48","36","226","248","215"
"49","36","231","231","209"
"50","36","251","6","207"
"51","36","248","237","193"
"52","36","242","231","176"
"53","36","6","251","196"
"54","36","226","237","171"
"55","36","209","231","176"
"56","36","28","83","39"
"57","36","58","124","80"
"58","36","74","140","96"
"59","36","39","105","61"
"60","36","248","69","248"
"61","36","253","52","242"
"62","36","17","72","251"
"63","36","14","47","226"
"64","36","8","41","220"
"65","36","50","72","17"
"66","36","58","80","47"
"67","36","74","96","85"
"68","36","116","127","149"
"69","36","91","102","124"
"70","36","30","74","85"
"71","36","28","72","61"
"72","36","36","91","47"
"73","36","52","74","41"
"74","36","72","94","39"
"75","36","80","102","47"
"76","36","96","118","85"
"77","36","127","149","116"
"78","36","113","135","124"
"79","36","107","129","118"
"80","36","94","116","83"
"81","36","157","179","146"
"82","36","107","118","140"
"83","36","17","39","6"
"84","36","168","245","47"
"85","36","47","146","61"
"86","36","27","159","165"
"87","36","123","10","184"
"88","36","95","238","156"
"89","36","115","2","176"
"90","36","101","244","162"
"91","36","95","238","134"
"92","36","115","13","132"
"93","36","101","255","118"
"94","36","95","238","134"
"95","36","115","2","154"
"96","36","101","255","118"
"97","36","95","249","112"
"98","36","115","13","132"
"99","36","101","255","118"
"0","37","95","249","112"
"1","37","115","13","132"
"2","37","101","255","118"
"3","37","95","249","112"
"4","37","115","2","176"
"5","37","101","244","162"
"6","37","95","249","112"
"7","37","115","13","132"
"8","37","101","255","118"
"9","37","95","249","112"
"10","37","115","2","154"
"11","37","112","255","151"
"12","37","117","238","112"
"13","37","170","13","8"
"14","37","119","185","133"
